"anonym_id","research_stage","research_stage_feeling_cause"
1,"Data analysis","The research is both interesting and important for vulnerable people"
2,"Revisions",""
3,"Data analysis",""
4,"Data analysis","interest, since a research loves what he does"
5,"Data collection","The interest of the question"
6,"Project genesis/ first thoughts/ idea creation","Joy: it is fascinating to work on new plans and keep in mind that ""if your dreams don't scare you, there not big enough"
7,"Data analysis","Accomplissement of loads of work "
8,"Preparations (IRB permit, preregistration, experiment preparations)","I am interested, motivated and passionate about this project, but the IRB application process was unhelpfully long and really frustrating "
9,"Preparations (IRB permit, preregistration, experiment preparations)","waste of time"
10,"Reality check (e.g., literature search, consultation with colleagues)","Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work."
11,"Waiting for journal's response and revisions","I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait"
12,"Project genesis/ first thoughts/ idea creation","Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia"
13,"Report writing","Lonliness as my intense work can't be shared with my  co-investigators or friends"
14,"Data collection","""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project."
15,"Reality check (e.g., literature search, consultation with colleagues)","I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators."
16,"Data collection","Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists."
17,"Report writing","The sense of achievement and joy brought by scientific research."
18,"Data collection","It is interesting to interact with study participants and hear their thoughts about the topic of study."
19,"Report writing","Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)"
20,"Waiting for journal's response and revisions","-"
21,"Revisions","Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections."
22,"Report writing","I think contentment is my driver in the frustrating proces of analyzing, writing and discussing the findings of my field research. I have too little time to be in the process and deepen my thoughts and insights, so I often use weekends or evenings. That makes me feel unefficient and it also makes me feel a bad mom, because I take time I could have used with my family. I think contentment is my motivator or driver, because I like to think that the purpose is higher than my personal sacrifice. "
23,"Waiting for journal's response and revisions",""
24,"Report writing","I was super pissed with my co-authors because they didnt do their part and everything was on me"
25,"Preparations (IRB permit, preregistration, experiment preparations)","Shame because I feel like I should be further with it and I'm not working fast and efficient enough"
26,"Data analysis","interest -- curious about the results"
27,"Data analysis","Successfully running code, completing an analysis and seeing the 'fruits' of the whole research process. "
28,"Preparations (IRB permit, preregistration, experiment preparations)","Anger and Disappointment comes closest but doesn't quite fit - more frustrated or annoyed because things were slower and less collaborative than expected"
29,"Data analysis","null findings, very prolonged process "
30,"Waiting for journal's response and revisions","Relief: because I finalised a major and challenging revision, and I think I did a great job."
31,"Data analysis",""
32,"Report writing","Writing things up is a continuous process of discovering insights that make one interested in the work"
