"anonym_id","general_feeling","general_feeling_cause"
1,2,"I am interested in the topics I research"
2,2,""
3,1,"Overwork"
4,1,"Sometimes (not always) you have the chance to decide by yourself what to do and how; this is good but is also a responsibilityhow"
5,3,"Freedom and intellectually stimulating"
6,3,"Great to work on innovation"
7,2,"Field of clinical research and self management for projects "
8,1,"I like doing research but I often have the sense that we are ""forced"" to prioritize career-related outputs (eg: number of publications) over benefit sharing"
9,2,"liberty"
10,2,"Intellectually and socially stimulating, enriching and interesting"
11,-1,"Little academic support from supervisor, long time for publication"
12,-1,"Overwork, unreasonable expectations, doing the job of multiple people"
13,-2," sleep deprivation  Lack of social life and detached from family"
14,2,"I enjoy conducting research and see its value."
15,2,"Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems "
16,2,"Enjoy discovering new facts"
17,3,"Enjoy conducting research"
18,1,"stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load "
19,-2,"continuously too much work and byrocracy"
20,1,"Flexible working hours"
21,-2,"Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals."
22,1,"I like gaining insight into new domains and deepening my knowledge"
23,1,"Relationship with supervisor"
24,2,"I love my job but i am stressed of not having a permanent position"
25,-1,"I do not enjoy the publication process and the high degree of rigorosity in academia"
26,1,"satisfaction from scientific worked mixed with feelings of inadequacy and anxiety"
27,2,"I am very grateful working in such an enthusiastic environment and being able to pursue a topic that I am passionate about."
28,-1,"uncertainty, pressure, lack of recognition, lack of useful output / relevance"
29,1,"intersting, challenging"
30,2,"I love science! Passion-driven"
31,3,""
32,1,"The mix of freedom of knowledge pursuit and anxiety about outcomes (and job prospect)"
33,3,""
34,1,"academic work pressure and low job security"
35,2,"I love most parts of being a researcher, which is really something I feel belongs to me"
36,0,"Ups and downs"
37,3,"I have great colleagues and a great team, I like what I am doing and I think my work can have a very small but also relevant impact."
38,2,"I don't want to do other things"
39,1,"Lack of time "
40,2,"Great work environment, great supervisor, nce colleagues, good work-life balance"
41,-1,"unequality, lack of appreciation"
